seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank
0,frobenius,conv1.weight,64x3x3x3,5.498311425182695,5.498310376257083
0,frobenius,layer1.0.conv1.weight,64x64x3x3,22.08254947969452,22.08260713029015
0,frobenius,layer1.0.conv2.weight,64x64x3x3,29.988103662657448,29.98809528648762
0,frobenius,layer1.1.conv1.weight,64x64x3x3,26.94906631429025,26.94925635865342
0,frobenius,layer1.1.conv2.weight,64x64x3x3,28.21157303844583,28.211501261440414
0,frobenius,layer2.0.conv1.weight,128x64x3x3,40.25645011132552,40.25669768121192
0,frobenius,layer2.0.conv2.weight,128x128x3x3,49.332314390130314,49.33202414386196
0,frobenius,layer2.0.downsample.0.weight,128x64x1x1,19.07365426755289,19.07359242215161
0,frobenius,layer2.1.conv1.weight,128x128x3x3,53.77833421362586,53.77810083371467
0,frobenius,layer2.1.conv2.weight,128x128x3x3,45.57630558599542,45.576323600427145
0,frobenius,layer3.0.conv1.weight,256x128x3x3,67.37229236322133,67.37292054937232
0,frobenius,layer3.0.conv2.weight,256x256x3x3,67.67158720356701,67.67053219866595
0,frobenius,layer3.0.downsample.0.weight,256x128x1x1,26.06765308109117,26.06741062951382
0,frobenius,layer3.1.conv1.weight,256x256x3x3,58.957144919794366,58.957391196636536
0,frobenius,layer3.1.conv2.weight,256x256x3x3,41.05650171554845,41.05610812994147
0,frobenius,layer4.0.conv1.weight,512x256x3x3,37.74489723823362,37.744155237736216
0,frobenius,layer4.0.conv2.weight,512x512x3x3,38.650548216629666,38.65036920489636
0,frobenius,layer4.0.downsample.0.weight,512x256x1x1,16.011013326740816,16.011000576910757
0,frobenius,layer4.1.conv1.weight,512x512x3x3,27.21766346402152,27.21746020773133
0,frobenius,layer4.1.conv2.weight,512x512x3x3,18.698821199729167,18.698914327818866
0,frobenius,fc.weight,100x512,25.058018135549975,25.05800110354929
0,spectral,conv1.weight,64x3x3x3,5.498311425182695,26.999999999884285
0,spectral,layer1.0.conv1.weight,64x64x3x3,22.08254947969452,63.99999999810508
0,spectral,layer1.0.conv2.weight,64x64x3x3,29.988103662657448,63.999999997663366
0,spectral,layer1.1.conv1.weight,64x64x3x3,26.94906631429025,63.99999999841989
0,spectral,layer1.1.conv2.weight,64x64x3x3,28.21157303844583,63.999999998196785
0,spectral,layer2.0.conv1.weight,128x64x3x3,40.25645011132552,127.99999994850488
0,spectral,layer2.0.conv2.weight,128x128x3x3,49.332314390130314,127.9999999528653
0,spectral,layer2.0.downsample.0.weight,128x64x1x1,19.07365426755289,63.99999999791995
0,spectral,layer2.1.conv1.weight,128x128x3x3,53.77833421362586,127.99999994260799
0,spectral,layer2.1.conv2.weight,128x128x3x3,45.57630558599542,127.99999994812525
0,spectral,layer3.0.conv1.weight,256x128x3x3,67.37229236322133,255.9999999175528
0,spectral,layer3.0.conv2.weight,256x256x3x3,67.67158720356701,255.9999998916286
0,spectral,layer3.0.downsample.0.weight,256x128x1x1,26.06765308109117,127.99999994553335
0,spectral,layer3.1.conv1.weight,256x256x3x3,58.957144919794366,255.99999990045276
0,spectral,layer3.1.conv2.weight,256x256x3x3,41.05650171554845,255.99999989861195
0,spectral,layer4.0.conv1.weight,512x256x3x3,37.74489723823362,511.9999995124966
0,spectral,layer4.0.conv2.weight,512x512x3x3,38.650548216629666,511.99999948595223
0,spectral,layer4.0.downsample.0.weight,512x256x1x1,16.011013326740816,255.99999989848746
0,spectral,layer4.1.conv1.weight,512x512x3x3,27.21766346402152,511.9999994780363
0,spectral,layer4.1.conv2.weight,512x512x3x3,18.698821199729167,511.99999946944814
0,spectral,fc.weight,100x512,25.058018135549975,99.9999999942378
1,frobenius,conv1.weight,64x3x3x3,5.621498755099576,5.621504190684665
1,frobenius,layer1.0.conv1.weight,64x64x3x3,18.227749529351772,18.22777819632247
1,frobenius,layer1.0.conv2.weight,64x64x3x3,28.121887102549156,28.12187531733821
1,frobenius,layer1.1.conv1.weight,64x64x3x3,25.70704687347425,25.707117899801958
1,frobenius,layer1.1.conv2.weight,64x64x3x3,29.236861673492847,29.236794848252337
1,frobenius,layer2.0.conv1.weight,128x64x3x3,44.93379090409773,44.93422227858642
1,frobenius,layer2.0.conv2.weight,128x128x3x3,52.02492572624931,52.02512826976455
1,frobenius,layer2.0.downsample.0.weight,128x64x1x1,19.113945454894026,19.113924213636775
1,frobenius,layer2.1.conv1.weight,128x128x3x3,51.780503515394514,51.78059559337516
1,frobenius,layer2.1.conv2.weight,128x128x3x3,44.2831025518093,44.28249950757436
1,frobenius,layer3.0.conv1.weight,256x128x3x3,68.07960987631944,68.07933869331293
1,frobenius,layer3.0.conv2.weight,256x256x3x3,69.3230982555055,69.32220153932523
1,frobenius,layer3.0.downsample.0.weight,256x128x1x1,25.51007106303359,25.509892800516365
1,frobenius,layer3.1.conv1.weight,256x256x3x3,58.27032750047325,58.27014117145043
1,frobenius,layer3.1.conv2.weight,256x256x3x3,38.75618308032906,38.755574113980536
1,frobenius,layer4.0.conv1.weight,512x256x3x3,42.64711130200518,42.6471238402771
1,frobenius,layer4.0.conv2.weight,512x512x3x3,42.976729452767906,42.9791703970654
1,frobenius,layer4.0.downsample.0.weight,512x256x1x1,17.731694408206884,17.732174402561768
1,frobenius,layer4.1.conv1.weight,512x512x3x3,27.82617581633706,27.82646071031144
1,frobenius,layer4.1.conv2.weight,512x512x3x3,18.60379083197134,18.60385953907215
1,frobenius,fc.weight,100x512,24.934489525722434,24.93455746421314
1,spectral,conv1.weight,64x3x3x3,5.621498755099576,26.999999999867896
1,spectral,layer1.0.conv1.weight,64x64x3x3,18.227749529351772,63.999999998429644
1,spectral,layer1.0.conv2.weight,64x64x3x3,28.121887102549156,63.99999999811044
1,spectral,layer1.1.conv1.weight,64x64x3x3,25.70704687347425,63.99999999869114
1,spectral,layer1.1.conv2.weight,64x64x3x3,29.236861673492847,63.99999999823633
1,spectral,layer2.0.conv1.weight,128x64x3x3,44.93379090409773,127.99999994564055
1,spectral,layer2.0.conv2.weight,128x128x3x3,52.02492572624931,127.99999994929242
1,spectral,layer2.0.downsample.0.weight,128x64x1x1,19.113945454894026,63.99999999799573
1,spectral,layer2.1.conv1.weight,128x128x3x3,51.780503515394514,127.99999994729406
1,spectral,layer2.1.conv2.weight,128x128x3x3,44.2831025518093,127.99999995056193
1,spectral,layer3.0.conv1.weight,256x128x3x3,68.07960987631944,255.9999999119771
1,spectral,layer3.0.conv2.weight,256x256x3x3,69.3230982555055,255.9999998954234
1,spectral,layer3.0.downsample.0.weight,256x128x1x1,25.51007106303359,127.99999994547358
1,spectral,layer3.1.conv1.weight,256x256x3x3,58.27032750047325,255.99999988785802
1,spectral,layer3.1.conv2.weight,256x256x3x3,38.75618308032906,255.99999988654673
1,spectral,layer4.0.conv1.weight,512x256x3x3,42.64711130200518,511.9999995136997
1,spectral,layer4.0.conv2.weight,512x512x3x3,42.976729452767906,511.99999950678534
1,spectral,layer4.0.downsample.0.weight,512x256x1x1,17.731694408206884,255.9999999062976
1,spectral,layer4.1.conv1.weight,512x512x3x3,27.82617581633706,511.9999995067961
1,spectral,layer4.1.conv2.weight,512x512x3x3,18.60379083197134,511.99999949348523
1,spectral,fc.weight,100x512,24.934489525722434,99.99999999522626
2,frobenius,conv1.weight,64x3x3x3,5.34009781134096,5.340096071536466
2,frobenius,layer1.0.conv1.weight,64x64x3x3,20.34231371023245,20.342402486016994
2,frobenius,layer1.0.conv2.weight,64x64x3x3,24.66267584242774,24.662613071147362
2,frobenius,layer1.1.conv1.weight,64x64x3x3,26.047102661997485,26.047161153035216
2,frobenius,layer1.1.conv2.weight,64x64x3x3,31.074576898820954,31.074551717251307
2,frobenius,layer2.0.conv1.weight,128x64x3x3,44.427420836542154,44.427203280780176
2,frobenius,layer2.0.conv2.weight,128x128x3x3,53.30401292350208,53.3038014349147
2,frobenius,layer2.0.downsample.0.weight,128x64x1x1,19.336386802589324,19.336504249096322
2,frobenius,layer2.1.conv1.weight,128x128x3x3,49.42805927399839,49.42788402009416
2,frobenius,layer2.1.conv2.weight,128x128x3x3,42.316872868771156,42.31644602854006
2,frobenius,layer3.0.conv1.weight,256x128x3x3,58.22601012429952,58.22579207616919
2,frobenius,layer3.0.conv2.weight,256x256x3x3,61.05657057029407,61.056080504097636
